iso3,name_canonical,income_group,papers_raw,papers_fractional,headcount_pct_2021,headcount_year_used,headcount_is_stale,total_population_2021,poor_population_2021_mn,share_of_papers,share_of_poor,share_of_pop,rep_ratio_poor,rep_ratio_pop
CHN,China,UMC,216,215.0,0.0000,2021,FALSE,1412360000,0.0000,0.191793,,0.221431,,0.866
IND,India,LMC,197,194.25,6.6100,2011,TRUE,1414203896,93.4789,0.173283,0.197938,0.221720,0.875,0.782
BRA,Brazil,UMC,82,81.5,4.7000,2021,FALSE,209550294,9.8489,0.072703,0.020855,0.032854,3.486,2.213
MEX,Mexico,UMC,50,48.5,1.7400,2020,FALSE,127648148,2.2211,0.043265,0.004703,0.020013,9.199,2.162
COL,Colombia,UMC,46,45.5,6.5700,2021,FALSE,51188173,3.3631,0.040589,0.007121,0.008025,5.700,5.058
KEN,Kenya,LMC,45,43.5,22.9400,2021,FALSE,53219166,12.2085,0.038805,0.025851,0.008344,1.501,4.651
IDN,Indonesia,UMC,39,35.25,1.7200,2021,FALSE,276758053,4.7602,0.031445,0.010080,0.043390,3.120,0.725
PAK,Pakistan,LMC,35,34.3333,2.8000,2018,FALSE,239477801,6.7054,0.030627,0.014198,0.037546,2.157,0.816
BGD,Bangladesh,LMC,33,31.5,4.9400,2016,FALSE,167658854,8.2823,0.028100,0.017537,0.026286,1.602,1.069
UGA,Uganda,LIC,30,27.0,40.0400,2019,FALSE,45910930,18.3827,0.024086,0.038925,0.007198,0.619,3.346
PER,Peru,UMC,25,25.0,2.1800,2021,FALSE,33155882,0.7228,0.022302,0.001530,0.005198,14.571,4.290
MWI,Malawi,LIC,20,20.0,56.9300,2019,FALSE,20047258,11.4129,0.017841,0.024166,0.003143,0.738,5.676
TZA,Tanzania,LMC,21,19.0833,29.1600,2018,FALSE,62830412,18.3213,0.017023,0.038795,0.009851,0.439,1.728
GHA,Ghana,LMC,21,18.8333,25.4200,2016,FALSE,32518665,8.2662,0.016800,0.017503,0.005098,0.960,3.295
TUR,Turkiye,UMC,17,17.0,0.4500,2021,FALSE,84147318,0.3787,0.015165,0.000802,0.013193,18.912,1.150
ZAF,South Africa,UMC,16,16.0,16.2400,2014,TRUE,61502603,9.9880,0.014273,0.021149,0.009642,0.675,1.480
PHL,Philippines,LMC,14,13.5,2.1900,2021,FALSE,113100950,2.4769,0.012043,0.005245,0.017732,2.296,0.679
RWA,Rwanda,LIC,14,13.0,43.9600,2016,FALSE,13355260,5.8710,0.011597,0.012432,0.002094,0.933,5.538
NGA,Nigeria,LMC,13,12.3333,17.3200,2018,FALSE,218529286,37.8493,0.011002,0.080144,0.034261,0.137,0.321
SLV,El Salvador,UMC,11,11.0,3.2300,2021,FALSE,6255782,0.2021,0.009813,0.000428,0.000981,22.930,10.005
SLE,Sierra Leone,LIC,11,10.3333,19.0000,2018,FALSE,8094602,1.5380,0.009218,0.003257,0.001269,2.831,7.263
AFG,Afghanistan,LIC,10,10.0,,,FALSE,40000412,,0.008921,,0.006271,,1.422
ARG,Argentina,UMC,10,10.0,0.8300,2021,FALSE,45312281,0.3761,0.008921,0.000796,0.007104,11.202,1.256
VNM,Viet Nam,LMC,10,10.0,0.3300,2020,FALSE,98935098,0.3265,0.008921,0.000691,0.015511,12.903,0.575
MOZ,Mozambique,LIC,10,9.5,69.8000,2019,FALSE,31707800,22.1320,0.008475,0.046864,0.004971,0.181,1.705
COD,"Congo, Dem. Rep.",LIC,8,8.0,74.4000,2020,FALSE,99148932,73.7668,0.007136,0.156198,0.015545,0.046,0.459
BFA,Burkina Faso,LIC,9,7.8333,21.3700,2021,FALSE,21995243,4.7004,0.006988,0.009953,0.003448,0.702,2.026
EGY,"Egypt, Arab Rep.",LMC,7,7.0,0.1600,2021,FALSE,110957008,0.1775,0.006244,0.000376,0.017396,16.614,0.359
SEN,Senegal,LMC,7,7.0,5.9600,2021,FALSE,17220867,1.0264,0.006244,0.002173,0.002700,2.873,2.313
ZMB,Zambia,LMC,7,7.0,56.5300,2015,TRUE,19603607,11.0819,0.006244,0.023465,0.003073,0.266,2.032
ECU,Ecuador,UMC,7,6.5,2.4100,2021,FALSE,17682454,0.4261,0.005798,0.000902,0.002772,6.427,2.092
NER,Niger,LIC,6,6.0,32.4800,2021,FALSE,24502140,7.9583,0.005352,0.016851,0.003841,0.318,1.393
THA,Thailand,UMC,6,6.0,0.0100,2021,FALSE,71727332,0.0072,0.005352,0.000015,0.011245,351.074,0.476
MLI,Mali,LIC,7,5.5833,15.9700,2021,FALSE,22388630,3.5755,0.004981,0.007571,0.003510,0.658,1.419
LBR,Liberia,LIC,6,5.3333,16.4400,2016,FALSE,5259323,0.8646,0.004758,0.001831,0.000825,2.599,5.770
JOR,Jordan,LMC,5,5.0,0.0400,2010,TRUE,11066356,0.0044,0.004460,0.000009,0.001735,478.737,2.571
UKR,Ukraine,UMC,5,5.0,0.0200,2020,FALSE,44298640,0.0089,0.004460,0.000019,0.006945,236.679,0.642
BOL,Bolivia,LMC,4,4.0,1.4800,2021,FALSE,11937360,0.1767,0.003568,0.000374,0.001872,9.537,1.907
TUN,Tunisia,LMC,4,4.0,0.2100,2021,FALSE,12048622,0.0253,0.003568,0.000054,0.001889,66.607,1.889
AGO,Angola,LMC,3,3.0,26.4700,2018,FALSE,34532429,9.1407,0.002676,0.019355,0.005414,0.138,0.494
CMR,Cameroon,LMC,3,3.0,13.3500,2021,FALSE,26915758,3.5933,0.002676,0.007609,0.004220,0.352,0.634
LBN,Lebanon,LMC,3,3.0,0.0000,2011,TRUE,5718122,0.0000,0.002676,,0.000896,,2.985
MMR,Myanmar,LMC,3,3.0,2.0800,2017,FALSE,53387102,1.1105,0.002676,0.002351,0.008370,1.138,0.320
NPL,Nepal,LMC,3,3.0,6.1400,2010,TRUE,29475010,1.8098,0.002676,0.003832,0.004621,0.698,0.579
PRY,Paraguay,UMC,3,2.5,0.6800,2021,FALSE,6684182,0.0455,0.002230,0.000096,0.001048,23.148,2.128
BDI,Burundi,LIC,3,2.0,54.7000,2020,FALSE,12965481,7.0921,0.001784,0.015017,0.002033,0.119,0.878
BEN,Benin,LMC,2,2.0,11.3100,2021,FALSE,13413417,1.5171,0.001784,0.003212,0.002103,0.555,0.848
GMB,"Gambia, The",LIC,2,2.0,9.3000,2020,FALSE,2576010,0.2396,0.001784,0.000507,0.000404,3.517,4.418
HTI,Haiti,LMC,2,2.0,53.6700,2012,TRUE,11374586,6.1047,0.001784,0.012926,0.001783,0.138,1.000
IRN,"Iran, Islamic Rep.",UMC,2,2.0,0.9900,2021,FALSE,88455488,0.8757,0.001784,0.001854,0.013868,0.962,0.129
LAO,Lao PDR,LMC,2,2.0,4.2400,2018,FALSE,7453194,0.3160,0.001784,0.000669,0.001169,2.666,1.527
LKA,Sri Lanka,LMC,3,2.0,0.4100,2019,FALSE,22156000,0.0908,0.001784,0.000192,0.003474,9.279,0.514
NAM,Namibia,LMC,2,2.0,13.4800,2015,TRUE,2810548,0.3789,0.001784,0.000802,0.000441,2.224,4.049
NIC,Nicaragua,LMC,2,2.0,2.7600,2014,TRUE,6644741,0.1834,0.001784,0.000388,0.001042,4.594,1.713
TGO,Togo,LIC,2,2.0,17.3600,2021,FALSE,8878379,1.5413,0.001784,0.003264,0.001392,0.547,1.282
TJK,Tajikistan,LMC,2,2.0,3.1100,2021,FALSE,9966908,0.3100,0.001784,0.000656,0.001563,2.718,1.142
CIV,Cote d'Ivoire,LMC,2,1.5,6.7400,2021,FALSE,29639736,1.9977,0.001338,0.004230,0.004647,0.316,0.288
GTM,Guatemala,UMC,2,1.5,3.5700,2014,TRUE,17598650,0.6283,0.001338,0.001330,0.002759,1.006,0.485
GIN,Guinea,LMC,2,1.3333,3.3200,2018,FALSE,13710513,0.4552,0.001189,0.000964,0.002150,1.234,0.553
COM,Comoros,LMC,1,1.0,2.2000,2020,FALSE,818174,0.0180,0.000892,0.000038,0.000128,23.405,6.954
CPV,Cabo Verde,UMC,1,1.0,6.3200,2015,TRUE,516649,0.0327,0.000892,0.000069,0.000081,12.883,11.013
DOM,Dominican Republic,UMC,1,1.0,0.3400,2021,FALSE,11123476,0.0378,0.000892,0.000080,0.001744,11.145,0.512
FJI,Fiji,UMC,1,1.0,0.7900,2019,FALSE,916711,0.0072,0.000892,0.000015,0.000144,58.512,6.207
GEO,Georgia,UMC,1,1.0,4.4000,2021,FALSE,3708610,0.1632,0.000892,0.000346,0.000581,2.581,1.534
GNB,Guinea-Bissau,LIC,1,1.0,19.7300,2021,FALSE,2058841,0.4062,0.000892,0.000860,0.000323,1.037,2.764
HND,Honduras,LMC,1,1.0,10.5700,2019,FALSE,10289877,1.0876,0.000892,0.002303,0.001613,0.387,0.553
IRQ,Iraq,UMC,1,1.0,0.0300,2012,TRUE,43071211,0.0129,0.000892,0.000027,0.006753,32.658,0.132
JAM,Jamaica,UMC,1,1.0,0.3100,2021,FALSE,2837682,0.0088,0.000892,0.000019,0.000445,47.874,2.005
KAZ,Kazakhstan,UMC,1,1.0,0.0100,2021,FALSE,19743603,0.0020,0.000892,0.000004,0.003095,210.644,0.288
KGZ,Kyrgyz Republic,LMC,1,1.0,0.8400,2021,FALSE,6851224,0.0576,0.000892,0.000122,0.001074,7.314,0.830
KHM,Cambodia,LMC,1,1.0,,,FALSE,16974305,,0.000892,,0.002661,,0.335
LBY,Libya,UMC,1,1.0,,,FALSE,7135175,,0.000892,,0.001119,,0.797
LSO,Lesotho,LMC,1,1.0,27.8700,2017,FALSE,2261542,0.6303,0.000892,0.001335,0.000355,0.668,2.516
MAR,Morocco,LMC,1,1.0,0.9200,2013,TRUE,36954442,0.3400,0.000892,0.000720,0.005794,1.239,0.154
MDG,Madagascar,LIC,1,1.0,46.9600,2021,FALSE,29691083,13.9429,0.000892,0.029524,0.004655,0.030,0.192
MKD,North Macedonia,UMC,1,1.0,2.3900,2019,FALSE,1837114,0.0439,0.000892,0.000093,0.000288,9.597,3.097
PSE,West Bank and Gaza,LMC,1,1.0,0.3200,2016,FALSE,4922749,0.0158,0.000892,0.000033,0.000772,26.664,1.156
SOM,"Somalia, Fed. Rep.",LIC,1,1.0,,,FALSE,17271431,,0.000892,,0.002708,,0.329
SYR,Syrian Arab Republic,LIC,1,1.0,0.0000,2009,TRUE,21628839,0.0000,0.000892,,0.003391,,0.263
YEM,"Yemen, Rep.",LIC,1,1.0,15.1100,2014,TRUE,37140230,5.6119,0.000892,0.011883,0.005823,0.075,0.153
ALB,Albania,UMC,0,0.0,0.0000,2020,FALSE,2489762,0.0000,0.000000,,0.000390,,0.000
ARM,Armenia,UMC,0,0.0,0.2900,2021,FALSE,2962300,0.0086,0.000000,0.000018,0.000464,0.000,0.000
AZE,Azerbaijan,UMC,0,0.0,0.0000,2005,TRUE,10137750,0.0000,0.000000,,0.001589,,0.000
BIH,Bosnia and Herzegovina,UMC,0,0.0,0.1200,2021,FALSE,3244907,0.0039,0.000000,0.000008,0.000509,0.000,0.000
BLR,Belarus,UMC,0,0.0,0.0000,2020,FALSE,9302585,0.0000,0.000000,,0.001458,,0.000
BLZ,Belize,UMC,0,0.0,0.2800,2018,FALSE,395346,0.0011,0.000000,0.000002,0.000062,0.000,0.000
BTN,Bhutan,LMC,0,0.0,0.5300,2017,FALSE,775442,0.0041,0.000000,0.000009,0.000122,0.000,0.000
BWA,Botswana,UMC,0,0.0,10.4400,2015,TRUE,2401441,0.2507,0.000000,0.000531,0.000377,0.000,0.000
CAF,Central African Republic,LIC,0,0.0,55.9400,2021,FALSE,5112100,2.8597,0.000000,0.006055,0.000801,0.000,0.000
COG,"Congo, Rep.",LMC,0,0.0,26.5200,2011,TRUE,5892183,1.5626,0.000000,0.003309,0.000924,0.000,0.000
CUB,Cuba,UMC,0,0.0,,,FALSE,11122168,,0.000000,,0.001744,,0.000
DJI,Djibouti,LMC,0,0.0,14.9500,2017,FALSE,1121248,0.1676,0.000000,0.000355,0.000176,0.000,0.000
DMA,Dominica,UMC,0,0.0,,,FALSE,67202,,0.000000,,0.000011,,0.000
DZA,Algeria,UMC,0,0.0,0.0000,2011,TRUE,44761099,0.0000,0.000000,,0.007018,,0.000
ERI,Eritrea,LIC,0,0.0,,,FALSE,3350183,,0.000000,,0.000525,,0.000
FSM,"Micronesia, Fed. Sts.",LMC,0,0.0,13.9900,2013,TRUE,111624,0.0156,0.000000,0.000033,0.000018,0.000,0.000
GAB,Gabon,UMC,0,0.0,1.3000,2017,FALSE,2376722,0.0309,0.000000,0.000065,0.000373,0.000,0.000
GNQ,Equatorial Guinea,UMC,0,0.0,2.2100,2022,FALSE,1758786,0.0389,0.000000,0.000082,0.000276,0.000,0.000
GRD,Grenada,UMC,0,0.0,0.3200,2018,FALSE,116688,0.0004,0.000000,0.000001,0.000018,0.000,0.000
KIR,Kiribati,LMC,0,0.0,1.0300,2019,FALSE,128377,0.0013,0.000000,0.000003,0.000020,0.000,0.000
LCA,St. Lucia,UMC,0,0.0,4.4500,2015,TRUE,178522,0.0079,0.000000,0.000017,0.000028,0.000,0.000
MDA,Moldova,UMC,0,0.0,0.0000,2021,FALSE,2595809,0.0000,0.000000,,0.000407,,0.000
MDV,Maldives,UMC,0,0.0,0.0000,2019,FALSE,516154,0.0000,0.000000,,0.000081,,0.000
MHL,Marshall Islands,UMC,0,0.0,0.8100,2019,FALSE,41367,0.0003,0.000000,0.000001,0.000006,0.000,0.000
MNE,Montenegro,UMC,0,0.0,1.8300,2021,FALSE,625053,0.0114,0.000000,0.000024,0.000098,0.000,0.000
MNG,Mongolia,UMC,0,0.0,0.2400,2018,FALSE,3383741,0.0081,0.000000,0.000017,0.000531,0.000,0.000
MRT,Mauritania,LMC,0,0.0,3.3300,2019,FALSE,4734874,0.1577,0.000000,0.000334,0.000742,0.000,0.000
MUS,Mauritius,UMC,0,0.0,0.0800,2017,FALSE,1266334,0.0010,0.000000,0.000002,0.000199,0.000,0.000
MYS,Malaysia,UMC,0,0.0,0.0000,2021,FALSE,34282399,0.0000,0.000000,,0.005375,,0.000
PNG,Papua New Guinea,LMC,0,0.0,35.4800,2009,TRUE,10012896,3.5526,0.000000,0.007522,0.001570,0.000,0.000
PRK,"Korea, Dem. People's Rep.",LIC,0,0.0,,,FALSE,26232534,,0.000000,,0.004113,,0.000
SDN,Sudan,LIC,0,0.0,2.9900,2014,TRUE,48066924,1.4372,0.000000,0.003043,0.007536,0.000,0.000
SLB,Solomon Islands,LMC,0,0.0,21.0600,2012,TRUE,762591,0.1606,0.000000,0.000340,0.000120,0.000,0.000
SRB,Serbia,UMC,0,0.0,1.1700,2021,FALSE,6834326,0.0800,0.000000,0.000169,0.001071,0.000,0.000
SSD,South Sudan,LIC,0,0.0,63.7200,2016,FALSE,10865780,6.9237,0.000000,0.014661,0.001704,0.000,0.000
STP,Sao Tome and Principe,LMC,0,0.0,4.6800,2017,FALSE,221961,0.0104,0.000000,0.000022,0.000035,0.000,0.000
SUR,Suriname,UMC,0,0.0,17.5300,1999,TRUE,617896,0.1083,0.000000,0.000229,0.000097,0.000,0.000
SWZ,Eswatini,LMC,0,0.0,29.5400,2016,FALSE,1206593,0.3564,0.000000,0.000755,0.000189,0.000,0.000
TCD,Chad,LIC,0,0.0,21.6500,2018,FALSE,17828273,3.8598,0.000000,0.008173,0.002795,0.000,0.000
TKM,Turkmenistan,UMC,0,0.0,18.1200,1998,TRUE,7092043,1.2851,0.000000,0.002721,0.001112,0.000,0.000
TLS,Timor-Leste,LMC,0,0.0,18.0700,2014,TRUE,1350139,0.2440,0.000000,0.000517,0.000212,0.000,0.000
TON,Tonga,UMC,0,0.0,0.0000,2021,FALSE,105490,0.0000,0.000000,,0.000017,,0.000
TUV,Tuvalu,UMC,0,0.0,2.7100,2010,TRUE,10194,0.0003,0.000000,0.000001,0.000002,0.000,0.000
UZB,Uzbekistan,LMC,0,0.0,2.2800,2021,FALSE,34243696,0.7808,0.000000,0.001653,0.005369,0.000,0.000
VCT,St. Vincent and the Grenadines,UMC,0,0.0,,,FALSE,102841,,0.000000,,0.000016,,0.000
VUT,Vanuatu,LMC,0,0.0,7.2400,2019,FALSE,305868,0.0221,0.000000,0.000047,0.000048,0.000,0.000
WSM,Samoa,UMC,0,0.0,0.7900,2013,TRUE,213779,0.0017,0.000000,0.000004,0.000034,0.000,0.000
XKX,Kosovo,UMC,0,0.0,20.0400,2021,FALSE,1786079,0.3579,0.000000,0.000758,0.000280,0.000,0.000
ZWE,Zimbabwe,LMC,0,0.0,32.8500,2019,FALSE,15797210,5.1894,0.000000,0.010988,0.002477,0.000,0.000
